defined_class	defined_class_label	cell_type	cell_type_label
http://purl.obolibrary.org/obo/GO_0035987	endodermal cell differentiation	http://purl.obolibrary.org/obo/CL_0000223	endodermal cell
http://purl.obolibrary.org/obo/GO_0045446	endothelial cell differentiation	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/GO_0035645	enteric smooth muscle cell differentiation	http://purl.obolibrary.org/obo/CL_0002504	enteric smooth muscle cell
http://purl.obolibrary.org/obo/GO_1903703	enterocyte differentiation	http://purl.obolibrary.org/obo/CL_0000584	enterocyte
http://purl.obolibrary.org/obo/GO_0035883	enteroendocrine cell differentiation	http://purl.obolibrary.org/obo/CL_0000164	enteroendocrine cell
http://purl.obolibrary.org/obo/GO_0043353	enucleate erythrocyte differentiation	http://purl.obolibrary.org/obo/CL_0000595	enucleate erythrocyte
http://purl.obolibrary.org/obo/GO_0030222	eosinophil differentiation	http://purl.obolibrary.org/obo/CL_0000771	eosinophil
http://purl.obolibrary.org/obo/GO_0009913	epidermal cell differentiation	http://purl.obolibrary.org/obo/CL_0000362	epidermal cell
http://purl.obolibrary.org/obo/GO_0030855	epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell
http://purl.obolibrary.org/obo/GO_0030218	erythrocyte differentiation	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
http://purl.obolibrary.org/obo/GO_0048773	erythrophore differentiation	http://purl.obolibrary.org/obo/CL_0000574	erythrophore
http://purl.obolibrary.org/obo/GO_0021755	eurydendroid cell differentiation	http://purl.obolibrary.org/obo/CL_0000253	eurydendroid cell
http://purl.obolibrary.org/obo/GO_0160083	exhausted T cell differentiation	http://purl.obolibrary.org/obo/CL_0011025	exhausted T cell
http://purl.obolibrary.org/obo/GO_0001754	eye photoreceptor cell differentiation	http://purl.obolibrary.org/obo/CL_0000287	eye photoreceptor cell
http://purl.obolibrary.org/obo/GO_0045444	fat cell differentiation	http://purl.obolibrary.org/obo/CL_0000136	adipocyte
http://purl.obolibrary.org/obo/GO_0090077	foam cell differentiation	http://purl.obolibrary.org/obo/CL_0000891	foam cell
http://purl.obolibrary.org/obo/GO_0002316	follicular B cell differentiation	http://purl.obolibrary.org/obo/CL_0000843	follicular B cell
http://purl.obolibrary.org/obo/GO_0002268	follicular dendritic cell differentiation	http://purl.obolibrary.org/obo/CL_0000442	follicular dendritic cell
http://purl.obolibrary.org/obo/GO_0021896	forebrain astrocyte differentiation	http://purl.obolibrary.org/obo/CL_0012000	astrocyte of the forebrain
http://purl.obolibrary.org/obo/GO_0021863	forebrain neuroblast differentiation	http://purl.obolibrary.org/obo/CL_1000042	forebrain neuroblast
http://purl.obolibrary.org/obo/GO_0021879	forebrain neuron differentiation	http://purl.obolibrary.org/obo/CL_0012001	neuron of the forebrain
http://purl.obolibrary.org/obo/GO_0021861	forebrain radial glial cell differentiation	http://purl.obolibrary.org/obo/CL_0013000	forebrain radial glial cell
http://purl.obolibrary.org/obo/GO_0042492	gamma-delta T cell differentiation	http://purl.obolibrary.org/obo/CL_0000798	gamma-delta T cell
http://purl.obolibrary.org/obo/GO_0002304	gamma-delta intraepithelial T cell differentiation	http://purl.obolibrary.org/obo/CL_0000801	gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/GO_0061321	garland nephrocyte differentiation	http://purl.obolibrary.org/obo/CL_0000486	garland cell
http://purl.obolibrary.org/obo/GO_0002314	germinal center B cell differentiation	http://purl.obolibrary.org/obo/CL_0000844	germinal center B cell
http://purl.obolibrary.org/obo/GO_0002067	glandular epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0000150	glandular epithelial cell
http://purl.obolibrary.org/obo/GO_0010001	glial cell differentiation	http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/GO_0072008	glomerular mesangial cell differentiation	http://purl.obolibrary.org/obo/CL_1000742	glomerular mesangial cell
http://purl.obolibrary.org/obo/GO_1905962	glutamatergic neuron differentiation	http://purl.obolibrary.org/obo/CL_0000679	glutamatergic neuron
http://purl.obolibrary.org/obo/GO_0030851	granulocyte differentiation	http://purl.obolibrary.org/obo/CL_0000094	granulocyte
http://purl.obolibrary.org/obo/GO_0060014	granulosa cell differentiation	http://purl.obolibrary.org/obo/CL_0000501	granulosa cell
http://purl.obolibrary.org/obo/GO_0003418	growth plate cartilage chondrocyte differentiation	http://purl.obolibrary.org/obo/CL_1000217	growth plate cartilage chondrocyte
http://purl.obolibrary.org/obo/GO_0035315	hair cell differentiation	http://purl.obolibrary.org/obo/CL_0000855	sensory hair cell
http://purl.obolibrary.org/obo/GO_0003293	heart valve cell differentiation	http://purl.obolibrary.org/obo/CL_1000147	cardiac valve cell
http://purl.obolibrary.org/obo/GO_0060217	hemangioblast cell differentiation	http://purl.obolibrary.org/obo/CL_0002418	hemangioblast
http://purl.obolibrary.org/obo/GO_0002244	hematopoietic progenitor cell differentiation	http://purl.obolibrary.org/obo/CL_0008001	hematopoietic precursor cell
http://purl.obolibrary.org/obo/GO_0060218	hematopoietic stem cell differentiation	http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell
http://purl.obolibrary.org/obo/GO_0042386	hemocyte differentiation	http://purl.obolibrary.org/obo/CL_0000387	hemocyte (sensu Arthropoda)
http://purl.obolibrary.org/obo/GO_0061521	hepatic stellate cell differentiation	http://purl.obolibrary.org/obo/CL_0000632	hepatic stellate cell
http://purl.obolibrary.org/obo/GO_0061017	hepatoblast differentiation	http://purl.obolibrary.org/obo/CL_1000488	cholangiocyte
http://purl.obolibrary.org/obo/GO_0070365	hepatocyte differentiation	http://purl.obolibrary.org/obo/CL_0000182	hepatocyte
http://purl.obolibrary.org/obo/GO_0097410	hippocampal interneuron differentiation	http://purl.obolibrary.org/obo/CL_1001569	hippocampal interneuron
http://purl.obolibrary.org/obo/GO_0097432	hippocampal pyramidal neuron differentiation	http://purl.obolibrary.org/obo/CL_1001571	hippocampal pyramidal neuron
http://purl.obolibrary.org/obo/GO_0002327	immature B cell differentiation	http://purl.obolibrary.org/obo/CL_0000816	immature B cell
http://purl.obolibrary.org/obo/GO_0001826	inner cell mass cell differentiation	http://purl.obolibrary.org/obo/CL_2000020	inner cell mass cell
http://purl.obolibrary.org/obo/GO_0042491	inner ear auditory receptor cell differentiation	http://purl.obolibrary.org/obo/CL_0000202	auditory hair cell
http://purl.obolibrary.org/obo/GO_0061453	interstitial cell of Cajal differentiation	http://purl.obolibrary.org/obo/CL_0002088	interstitial cell of Cajal
http://purl.obolibrary.org/obo/GO_0060575	intestinal epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0002563	intestinal epithelial cell
http://purl.obolibrary.org/obo/GO_0062236	ionocyte differentiation	http://purl.obolibrary.org/obo/CL_0005006	ionocyte
http://purl.obolibrary.org/obo/GO_0050935	iridophore differentiation	http://purl.obolibrary.org/obo/CL_0000431	iridophore
http://purl.obolibrary.org/obo/GO_0072052	juxtaglomerulus cell differentiation	http://purl.obolibrary.org/obo/CL_1000618	juxtaglomerular complex cell
http://purl.obolibrary.org/obo/GO_0030216	keratinocyte differentiation	http://purl.obolibrary.org/obo/CL_0000312	keratinocyte
http://purl.obolibrary.org/obo/GO_0072071	kidney interstitial fibroblast differentiation	http://purl.obolibrary.org/obo/CL_1000692	kidney interstitial fibroblast
http://purl.obolibrary.org/obo/GO_0035171	lamellocyte differentiation	http://purl.obolibrary.org/obo/CL_0000396	lamellocyte
http://purl.obolibrary.org/obo/GO_0035168	larval lymph gland hemocyte differentiation	http://purl.obolibrary.org/obo/CL_0000735	lymph gland hemocyte
http://purl.obolibrary.org/obo/GO_0048891	lateral line ganglion neuron differentiation	http://purl.obolibrary.org/obo/CL_2000031	lateral line ganglion neuron
http://purl.obolibrary.org/obo/GO_0048895	lateral line nerve glial cell differentiation	http://purl.obolibrary.org/obo/CL_1000050	lateral line nerve glial cell
http://purl.obolibrary.org/obo/GO_0021525	lateral motor column neuron differentiation	http://purl.obolibrary.org/obo/CL_0011002	lateral motor column neuron
http://purl.obolibrary.org/obo/GO_0035026	leading edge cell differentiation	http://purl.obolibrary.org/obo/CL_0000730	leading edge cell
http://purl.obolibrary.org/obo/GO_0070306	lens fiber cell differentiation	http://purl.obolibrary.org/obo/CL_0011004	lens fiber cell
http://purl.obolibrary.org/obo/GO_0048772	leucophore differentiation	http://purl.obolibrary.org/obo/CL_0000571	leucophore
http://purl.obolibrary.org/obo/GO_0002521	leukocyte differentiation	http://purl.obolibrary.org/obo/CL_0000738	leukocyte
http://purl.obolibrary.org/obo/GO_0061141	lung ciliated cell differentiation	http://purl.obolibrary.org/obo/CL_1000271	lung ciliated cell
http://purl.obolibrary.org/obo/GO_0060487	lung epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0000082	epithelial cell of lung
http://purl.obolibrary.org/obo/GO_0060480	lung goblet cell differentiation	http://purl.obolibrary.org/obo/CL_1000143	lung goblet cell
http://purl.obolibrary.org/obo/GO_0061100	lung neuroendocrine cell differentiation	http://purl.obolibrary.org/obo/CL_1000223	lung neuroendocrine cell
http://purl.obolibrary.org/obo/GO_0061140	lung secretory cell differentiation	http://purl.obolibrary.org/obo/CL_1000272	lung secretory cell
http://purl.obolibrary.org/obo/GO_1903728	luteal cell differentiation	http://purl.obolibrary.org/obo/CL_0000175	luteal cell
