defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_1902079	D-valine catabolic process	http://purl.obolibrary.org/obo/CHEBI_74338	D-valine zwitterion
http://purl.obolibrary.org/obo/GO_0042843	D-xylose catabolic process	http://purl.obolibrary.org/obo/CHEBI_15936	aldehydo-D-xylose
http://purl.obolibrary.org/obo/GO_0006308	DNA catabolic process	http://purl.obolibrary.org/obo/CHEBI_16991	deoxyribonucleic acid
http://purl.obolibrary.org/obo/GO_1900610	F-9775A catabolic process	http://purl.obolibrary.org/obo/CHEBI_64405	F-9775A
http://purl.obolibrary.org/obo/GO_1900613	F-9775B catabolic process	http://purl.obolibrary.org/obo/CHEBI_64409	F-9775B
http://purl.obolibrary.org/obo/GO_0062233	F2-isoprostane catabolic process	http://purl.obolibrary.org/obo/CHEBI_142058	F2-isoprostane
http://purl.obolibrary.org/obo/GO_0032363	FMN catabolic process	http://purl.obolibrary.org/obo/CHEBI_58210	FMN(3-)
http://purl.obolibrary.org/obo/GO_0046712	GDP catabolic process	http://purl.obolibrary.org/obo/CHEBI_58189	GDP(3-)
http://purl.obolibrary.org/obo/GO_0046038	GMP catabolic process	http://purl.obolibrary.org/obo/CHEBI_58115	guanosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0046709	IDP catabolic process	http://purl.obolibrary.org/obo/CHEBI_58280	IDP(3-)
http://purl.obolibrary.org/obo/GO_0006204	IMP catabolic process	http://purl.obolibrary.org/obo/CHEBI_58053	IMP(2-)
http://purl.obolibrary.org/obo/GO_0006193	ITP catabolic process	http://purl.obolibrary.org/obo/CHEBI_61402	ITP(4-)
http://purl.obolibrary.org/obo/GO_0042853	L-alanine catabolic process	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_1903663	L-altrarate catabolic process	http://purl.obolibrary.org/obo/CHEBI_37547	L-altrarate(2-)
http://purl.obolibrary.org/obo/GO_0019572	L-arabinose catabolic process	http://purl.obolibrary.org/obo/CHEBI_30849	L-arabinose
http://purl.obolibrary.org/obo/GO_0051158	L-arabitol catabolic process	http://purl.obolibrary.org/obo/CHEBI_18403	L-arabinitol
http://purl.obolibrary.org/obo/GO_0019854	L-ascorbic acid catabolic process	http://purl.obolibrary.org/obo/CHEBI_38290	L-ascorbate
http://purl.obolibrary.org/obo/GO_0019448	L-cysteine catabolic process	http://purl.obolibrary.org/obo/CHEBI_35235	L-cysteine zwitterion
http://purl.obolibrary.org/obo/GO_0042355	L-fucose catabolic process	http://purl.obolibrary.org/obo/CHEBI_18287	L-fucose
http://purl.obolibrary.org/obo/GO_0034195	L-galactonate catabolic process	http://purl.obolibrary.org/obo/CHEBI_53071	L-galactonate
http://purl.obolibrary.org/obo/GO_0046183	L-idonate catabolic process	http://purl.obolibrary.org/obo/CHEBI_17796	L-idonate
http://purl.obolibrary.org/obo/GO_0097053	L-kynurenine catabolic process	http://purl.obolibrary.org/obo/CHEBI_57959	L-kynurenine zwitterion
http://purl.obolibrary.org/obo/GO_0019477	L-lysine catabolic process	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)
http://purl.obolibrary.org/obo/GO_0006559	L-phenylalanine catabolic process	http://purl.obolibrary.org/obo/CHEBI_58095	L-phenylalanine zwitterion
http://purl.obolibrary.org/obo/GO_0019504	L-proline betaine catabolic process	http://purl.obolibrary.org/obo/CHEBI_35280	L-proline betaine
http://purl.obolibrary.org/obo/GO_0006565	L-serine catabolic process	http://purl.obolibrary.org/obo/CHEBI_33384	L-serine zwitterion
http://purl.obolibrary.org/obo/GO_0042850	L-sorbose catabolic process	http://purl.obolibrary.org/obo/CHEBI_17266	L-sorbose
http://purl.obolibrary.org/obo/GO_0051160	L-xylitol catabolic process	http://purl.obolibrary.org/obo/CHEBI_17151	xylitol
http://purl.obolibrary.org/obo/GO_0032326	Mo-molybdopterin cofactor catabolic process	http://purl.obolibrary.org/obo/CHEBI_21437	Mo-molybdopterin cofactor
http://purl.obolibrary.org/obo/GO_1900550	N',N'',N'''-triacetylfusarinine C catabolic process	http://purl.obolibrary.org/obo/CHEBI_60481	N',N'',N'''-triacetylfusarinine C
http://purl.obolibrary.org/obo/GO_2001299	N(omega),N(omega)-dimethyl-L-arginine catabolic process	http://purl.obolibrary.org/obo/CHEBI_58326	N(omega),N(omega)-dimethyl-L-argininium(1+)
http://purl.obolibrary.org/obo/GO_2001297	N(omega)-methyl-L-arginine catabolic process	http://purl.obolibrary.org/obo/CHEBI_114953	(2S)-2-ammonio-5-{[iminio(methylamino)methyl]amino}pentanoate
http://purl.obolibrary.org/obo/GO_0006046	N-acetylglucosamine catabolic process	http://purl.obolibrary.org/obo/CHEBI_59640	N-acetylglucosamine
http://purl.obolibrary.org/obo/GO_0006053	N-acetylmannosamine catabolic process	http://purl.obolibrary.org/obo/CHEBI_62164	N-acetylmannosamine
http://purl.obolibrary.org/obo/GO_0097173	N-acetylmuramic acid catabolic process	http://purl.obolibrary.org/obo/CHEBI_47978	N-acetylmuramate
http://purl.obolibrary.org/obo/GO_0019262	N-acetylneuraminate catabolic process	http://purl.obolibrary.org/obo/CHEBI_35418	N-acetylneuraminate
http://purl.obolibrary.org/obo/GO_0052710	N-alpha,N-alpha,N-alpha-trimethyl-L-histidine catabolic process	http://purl.obolibrary.org/obo/CHEBI_15781	N(alpha),N(alpha),N(alpha)-trimethyl-L-histidine
http://purl.obolibrary.org/obo/GO_0042202	N-cyclopropylmelamine catabolic process	http://purl.obolibrary.org/obo/CHEBI_30260	cyromazine
http://purl.obolibrary.org/obo/GO_0019677	NAD catabolic process	http://purl.obolibrary.org/obo/CHEBI_13389	NAD
http://purl.obolibrary.org/obo/GO_0006742	NADP catabolic process	http://purl.obolibrary.org/obo/CHEBI_25523	NADP
http://purl.obolibrary.org/obo/GO_0010304	PSII associated light-harvesting complex II catabolic process	http://purl.obolibrary.org/obo/GO_0009517	PSII associated light-harvesting complex II
http://purl.obolibrary.org/obo/GO_0006401	RNA catabolic process	http://purl.obolibrary.org/obo/CHEBI_33697	ribonucleic acid
http://purl.obolibrary.org/obo/GO_0000292	RNA fragment catabolic process	http://purl.obolibrary.org/obo/SO_0000587	group_I_intron
http://purl.obolibrary.org/obo/GO_0019510	S-adenosylhomocysteine catabolic process	http://purl.obolibrary.org/obo/CHEBI_57856	S-adenosyl-L-homocysteine zwitterion
http://purl.obolibrary.org/obo/GO_0050843	S-adenosylmethionine catabolic process	http://purl.obolibrary.org/obo/CHEBI_59789	S-adenosyl-L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0016145	S-glycoside catabolic process	http://purl.obolibrary.org/obo/CHEBI_35275	S-glycosyl compound
http://purl.obolibrary.org/obo/GO_0006245	TDP catabolic process	http://purl.obolibrary.org/obo/CHEBI_61417	TDP(3-)
http://purl.obolibrary.org/obo/GO_0046045	TMP catabolic process	http://purl.obolibrary.org/obo/CHEBI_142797	TMP(2-)
http://purl.obolibrary.org/obo/GO_0046047	TTP catabolic process	http://purl.obolibrary.org/obo/CHEBI_63527	TTP(4-)
