defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0042841	D-glucuronate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_15748	D-glucuronate
http://purl.obolibrary.org/obo/GO_2001061	D-glycero-D-manno-heptose 7-phosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59955	D-glycero-D-manno-heptose 7-phosphate(2-)
http://purl.obolibrary.org/obo/GO_1900833	D-leucine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_143079	D-leucine zwitterion
http://purl.obolibrary.org/obo/GO_1901280	D-ribose 5-phosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58273	aldehydo-D-ribose 5-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0019302	D-ribose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_16988	D-ribose
http://purl.obolibrary.org/obo/GO_0070179	D-serine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_35247	D-serine zwitterion
http://purl.obolibrary.org/obo/GO_0042842	D-xylose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_15936	aldehydo-D-xylose
http://purl.obolibrary.org/obo/GO_0031148	DIF-1 biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_90397	1-(3,5-dichloro-2,6-dihydroxy-4-methoxyphenyl)hexan-1-one(1-)
http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_16991	deoxyribonucleic acid
http://purl.obolibrary.org/obo/GO_1900611	F-9775A biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_64405	F-9775A
http://purl.obolibrary.org/obo/GO_1900614	F-9775B biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_64409	F-9775B
http://purl.obolibrary.org/obo/GO_0006747	FAD biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57692	FAD(3-)
http://purl.obolibrary.org/obo/GO_0009398	FMN biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58210	FMN(3-)
http://purl.obolibrary.org/obo/GO_0046711	GDP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58189	GDP(3-)
http://purl.obolibrary.org/obo/GO_0019306	GDP-D-rhamnose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58224	GDP-6-deoxy-alpha-D-mannose(2-)
http://purl.obolibrary.org/obo/GO_0042350	GDP-L-fucose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57984	GDP-L-fucose(2-)
http://purl.obolibrary.org/obo/GO_0033472	GDP-L-galactose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58355	GDP-L-galactose(2-)
http://purl.obolibrary.org/obo/GO_0019347	GDP-alpha-D-mannosylchitobiosyldiphosphodolichol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_21165	GDP-alpha-D-mannosylchitobiosyldiphosphodolichol
http://purl.obolibrary.org/obo/GO_0006177	GMP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58115	guanosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0006506	GPI anchor biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_24410	glycosylphosphatidylinositol
http://purl.obolibrary.org/obo/GO_0006183	GTP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_37565	GTP(4-)
http://purl.obolibrary.org/obo/GO_0046708	IDP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58280	IDP(3-)
http://purl.obolibrary.org/obo/GO_0006188	IMP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58053	IMP(2-)
http://purl.obolibrary.org/obo/GO_0046042	ITP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_61402	ITP(4-)
http://purl.obolibrary.org/obo/GO_0009248	K antigen biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_73772	K antigen
http://purl.obolibrary.org/obo/GO_0036104	Kdo2-lipid A biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58540	(Kdo)2-lipid A(6-) (E. coli)
http://purl.obolibrary.org/obo/GO_0042852	L-alanine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0033357	L-arabinose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_30849	L-arabinose
http://purl.obolibrary.org/obo/GO_0019853	L-ascorbic acid biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_38290	L-ascorbate
http://purl.obolibrary.org/obo/GO_0070981	L-asparagine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58048	L-asparagine zwitterion
http://purl.obolibrary.org/obo/GO_0062142	L-beta-ethynylserine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_144729	L-beta-ethynylserine zwitterion
http://purl.obolibrary.org/obo/GO_1903185	L-dopa biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57504	L-dopa zwitterion
http://purl.obolibrary.org/obo/GO_0006005	L-fucose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_18287	L-fucose
http://purl.obolibrary.org/obo/GO_1901704	L-glutamine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58359	L-glutamine zwitterion
http://purl.obolibrary.org/obo/GO_0071269	L-homocysteine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58199	L-homocysteine zwitterion
http://purl.obolibrary.org/obo/GO_0046182	L-idonate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_17796	L-idonate
http://purl.obolibrary.org/obo/GO_1901705	L-isoleucine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58045	L-isoleucine zwitterion
http://purl.obolibrary.org/obo/GO_0071265	L-methionine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57844	L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0019680	L-methylmalonyl-CoA biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57326	(R)-methylmalonyl-CoA(5-)
http://purl.obolibrary.org/obo/GO_0009094	L-phenylalanine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58095	L-phenylalanine zwitterion
http://purl.obolibrary.org/obo/GO_0062034	L-pipecolic acid biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_61185	L-pipecolic acid zwitterion
http://purl.obolibrary.org/obo/GO_0019503	L-proline betaine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_35280	L-proline betaine
http://purl.obolibrary.org/obo/GO_0055129	L-proline biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_60039	L-proline zwitterion
http://purl.obolibrary.org/obo/GO_0062143	L-propargylglycine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_143285	L-propargylglycine zwitterion
