defined_class	defined_class_label	cargo	cargo_label
http://purl.obolibrary.org/obo/GO_1903716	guanine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16235	guanine
http://purl.obolibrary.org/obo/GO_0035351	heme transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30413	heme
http://purl.obolibrary.org/obo/GO_0008645	hexose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_18133	hexose
http://purl.obolibrary.org/obo/GO_0015736	hexuronate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24591	hexuronate
http://purl.obolibrary.org/obo/GO_0080170	hydrogen peroxide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16240	hydrogen peroxide
http://purl.obolibrary.org/obo/GO_0033308	hydroxyectoine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_85413	5-hydroxyectoine zwitterion
http://purl.obolibrary.org/obo/GO_0098661	inorganic anion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24834	inorganic anion
http://purl.obolibrary.org/obo/GO_0098662	inorganic cation transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_36915	inorganic cation
http://purl.obolibrary.org/obo/GO_0098660	inorganic ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_36914	inorganic ion
http://purl.obolibrary.org/obo/GO_1904200	iodide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16382	iodide
http://purl.obolibrary.org/obo/GO_1902497	iron-sulfur cluster transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30408	iron-sulfur cluster
http://purl.obolibrary.org/obo/GO_1903714	isoleucine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24898	isoleucine
http://purl.obolibrary.org/obo/GO_0035873	lactate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24996	lactate
http://purl.obolibrary.org/obo/GO_0090452	lithium ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_49713	lithium(1+)
http://purl.obolibrary.org/obo/GO_1903830	magnesium ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_18420	magnesium(2+)
http://purl.obolibrary.org/obo/GO_0071423	malate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15595	malate(2-)
http://purl.obolibrary.org/obo/GO_1901553	malonic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15792	malonate(2-)
http://purl.obolibrary.org/obo/GO_1904981	maltose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17306	maltose
http://purl.obolibrary.org/obo/GO_0071421	manganese ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29035	manganese(2+)
http://purl.obolibrary.org/obo/GO_0015797	mannitol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29864	mannitol
http://purl.obolibrary.org/obo/GO_0015761	mannose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_37684	mannose
http://purl.obolibrary.org/obo/GO_0072489	methylammonium transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_59338	methylammonium
http://purl.obolibrary.org/obo/GO_0098656	monoatomic anion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_23905	monoatomic anion
http://purl.obolibrary.org/obo/GO_0098655	monoatomic cation transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_23906	monoatomic cation
http://purl.obolibrary.org/obo/GO_0034220	monoatomic ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24867	monoatomic ion
http://purl.obolibrary.org/obo/GO_0015749	monosaccharide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_35381	monosaccharide
http://purl.obolibrary.org/obo/GO_0035444	nickel cation transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_25516	nickel cation
http://purl.obolibrary.org/obo/GO_0035353	nicotinamide mononucleotide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_50383	nicotinamide mononucleotide
http://purl.obolibrary.org/obo/GO_0015706	nitrate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17632	nitrate
http://purl.obolibrary.org/obo/GO_1901642	nucleoside transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_33838	nucleoside
http://purl.obolibrary.org/obo/GO_1901679	nucleotide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_36976	nucleotide
http://purl.obolibrary.org/obo/GO_0015780	nucleotide-sugar transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_25609	nucleotide-sugar
http://purl.obolibrary.org/obo/GO_0035672	oligopeptide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_25676	oligopeptide
http://purl.obolibrary.org/obo/GO_1903825	organic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_64709	organic acid
http://purl.obolibrary.org/obo/GO_1902356	oxaloacetate(2-) transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16452	oxaloacetate(2-)
http://purl.obolibrary.org/obo/GO_1902604	p-aminobenzoyl-glutamate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_60903	N-(4-aminobenzoyl)-L-glutamate
http://purl.obolibrary.org/obo/GO_0015887	pantothenate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16454	pantothenate
http://purl.obolibrary.org/obo/GO_0015750	pentose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_25901	pentose
http://purl.obolibrary.org/obo/GO_0035435	phosphate ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0089722	phosphoenolpyruvate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58702	phosphonatoenolpyruvate
http://purl.obolibrary.org/obo/GO_0015713	phosphoglycerate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_61304	phosphoglycerate
http://purl.obolibrary.org/obo/GO_0071994	phytochelatin transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_131728	[Glu(-Cys)]n-Gly(1-)
http://purl.obolibrary.org/obo/GO_1902047	polyamine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_51349	polyamine macromolecule
http://purl.obolibrary.org/obo/GO_0015791	polyol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26191	polyol
http://purl.obolibrary.org/obo/GO_0071805	potassium ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29103	potassium(1+)
http://purl.obolibrary.org/obo/GO_0035524	proline transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26271	proline
http://purl.obolibrary.org/obo/GO_0015730	propanoate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17272	propionate
http://purl.obolibrary.org/obo/GO_0071806	protein transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_36080	protein
http://purl.obolibrary.org/obo/GO_1902600	proton transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_1904823	purine nucleobase transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26386	purine nucleobase
http://purl.obolibrary.org/obo/GO_0015860	purine nucleoside transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26394	purine nucleoside
http://purl.obolibrary.org/obo/GO_0090480	purine nucleotide-sugar transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_64711	purine nucleotide-sugar
http://purl.obolibrary.org/obo/GO_0072530	purine-containing compound transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26401	purines
http://purl.obolibrary.org/obo/GO_1903090	pyridoxal transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17310	pyridoxal
http://purl.obolibrary.org/obo/GO_1903091	pyridoxamine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57761	pyridoxaminium(1+)
http://purl.obolibrary.org/obo/GO_1903092	pyridoxine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16709	pyridoxine
http://purl.obolibrary.org/obo/GO_1904082	pyrimidine nucleobase transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26432	pyrimidine nucleobase
http://purl.obolibrary.org/obo/GO_0090481	pyrimidine nucleotide-sugar transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_61109	pyrimidine nucleotide-sugar
http://purl.obolibrary.org/obo/GO_0072531	pyrimidine-containing compound transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_39447	pyrimidines
http://purl.obolibrary.org/obo/GO_1901475	pyruvate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15361	pyruvate
http://purl.obolibrary.org/obo/GO_1903222	quinolinic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29959	quinolinate(2-)
