CHEBI	CHEBI_PH7_3	ORIGIN
4353	4353	computation
4354	4354	computation
4357	4357	computation
4360	4360	computation
4361	4361	computation
4364	4364	computation
4365	4365	computation
4366	4366	computation
4367	4367	computation
4368	4368	computation
4370	4370	computation
4371	4371	computation
4372	4372	computation
4373	4373	computation
4379	119573	computation
4388	4388	computation
4389	4389	computation
4390	4390	computation
4391	59719	computation
4394	4394	computation
4395	4395	computation
4397	4397	computation
4401	4401	computation
4409	4409	computation
4410	4410	computation
4414	4414	computation
4419	4419	computation
4429	4429	computation
4435	4435	computation
4439	60059	computation
4441	4441	computation
4443	4443	computation
4445	4445	computation
4453	4453	computation
4458	4458	computation
4459	4459	computation
4460	4460	computation
4462	68638	computation
4463	4463	computation
4466	4466	computation
4478	4478	computation
4488	4488	computation
4489	4489	computation
4503	4503	computation
4506	4506	computation
4508	48311	computation
4509	48311	computation
4511	52017	computation
4512	4512	computation
4517	4517	computation
4518	4518	computation
4520	4520	computation
4524	4524	computation
4527	4527	computation
4528	4527	computation
4536	4536	computation
4544	4544	computation
4551	145795	computation
4553	4553	computation
4559	4559	computation
4566	4566	computation
4572	4572	computation
4573	4573	computation
4574	4574	computation
4579	4579	computation
4581	17839	computation
4582	4582	computation
4583	4583	computation
4591	4591	computation
4592	4592	computation
4593	17795	computation
4601	4601	computation
4606	4606	computation
4607	4607	computation
4608	4608	computation
4609	4609	computation
4610	4610	computation
4613	4613	computation
4614	4614	computation
4621	4621	computation
4623	16471	computation
4629	4629	computation
4630	192749	computation
4631	4631	computation
4632	4632	computation
4640	4640	computation
4641	4641	computation
4645	4645	computation
4646	73714	computation
4647	73714	computation
4648	4648	computation
4652	4652	computation
4653	4653	computation
4656	4656	computation
4659	4659	computation
4660	4660	computation
4667	60654	computation
4672	4672	computation
4676	76273	computation
4682	4682	computation
4683	4682	computation
4685	4685	computation
4698	59905	computation
4701	4701	computation
4704	4704	computation
4712	4712	computation
4714	4714	computation
4715	4715	computation
4717	4717	computation
4720	4720	computation
4721	4721	computation
4722	4722	computation
4723	4723	computation
4728	4728	computation
4732	4732	computation
4733	144584	computation
4734	144583	computation
4737	4737	computation
4738	4738	computation
4740	4740	computation
4745	4745	computation
4746	4746	computation
4748	4748	computation
4749	4749	computation
4750	4750	computation
4751	4751	computation
4753	4753	computation
4757	64755	computation
4759	251408	computation
4770	4770	computation
4771	4771	computation
4773	4773	computation
4774	4774	computation
4776	4776	computation
4781	149548	computation
4789	4789	computation
4790	4790	computation
4791	4791	computation
4792	4792	computation
4793	4793	computation
4794	4794	computation
4806	4806	computation
4807	4807	computation
4808	4808	computation
4813	4813	computation
4815	4815	computation
4816	4816	computation
4817	4817	computation
4818	4818	computation
4828	134344	computation
4829	4829	computation
4833	4833	computation
4834	4834	computation
4835	4835	computation
4851	4851	computation
4853	4853	computation
4854	4854	computation
4855	4855	computation
4858	4858	computation
4860	4860	computation
4866	136582	computation
4867	4867	computation
4868	4868	computation
4873	60050	computation
4874	4874	computation
4882	4882	computation
4883	42478	computation
4884	4884	computation
4885	4885	computation
4887	4887	computation
4888	4888	computation
4892	4892	computation
4893	4893	computation
4895	4895	computation
4896	4896	computation
4903	4903	computation
4910	4910	computation
4911	4911	computation
4913	4913	computation
4914	4914	computation
4915	4915	computation
4917	4917	computation
4918	4918	computation
4920	4920	computation
4921	4921	computation
4922	4922	computation
4923	4923	computation
4924	4924	computation
4925	4925	computation
4926	4926	computation
4927	4927	computation
4928	4928	computation
4929	4929	computation
4930	4930	computation
4931	4931	computation
4933	4933	computation
4934	4934	computation
4935	4935	computation
4936	4936	computation
4937	4937	computation
4938	4938	computation
4939	4939	computation
4940	4940	computation
4941	4941	computation
4942	4942	computation
4944	4944	computation
4946	4946	computation
4947	133552	computation
4948	4948	computation
4949	4949	computation
4950	4950	computation
4951	4951	computation
4952	4952	computation
4953	4953	computation
4954	4954	computation
4955	4955	computation
4962	4962	computation
4966	4966	computation
4967	4967	computation
4973	4973	computation
4974	4974	computation
4976	4976	computation
4977	4977	computation
4982	4982	computation
4983	4983	computation
4986	4986	computation
4991	4991	computation
4995	4995	computation
4997	4997	computation
4999	4999	computation
5001	5001	computation
5004	60566	computation
5005	60566	computation
5006	5006	computation
5007	5007	computation
5008	5008	computation
5009	5009	computation
5010	60566	computation
5011	5011	computation
5013	5013	computation
5014	5014	computation
5015	5015	computation
5016	5016	computation
5018	5018	computation
5019	5019	computation
5020	5020	computation
5032	5032	computation
5044	5044	computation
5062	5062	computation
5066	5066	computation
5067	5067	computation
5070	5070	computation
5072	5072	computation
5078	5078	computation
5087	5087	computation
5088	61236	computation
5089	61236	computation
5091	76033	computation
5092	5092	computation
5093	5093	computation
5094	5094	computation
5095	5095	computation
5096	5096	computation
5098	52037	computation
5100	5100	computation
5102	5102	computation
5103	5103	computation
5104	5104	computation
5106	5106	computation
5108	5108	computation
5109	5109	computation
5115	5115	computation
5116	5116	computation
5120	5120	computation
5127	5127	computation
5131	5131	computation
5132	5132	computation
5133	5133	computation
5134	5134	computation
5135	5135	computation
5136	77601	computation
5141	5141	computation
5158	5158	computation
5160	5160	computation
5162	62247	computation
5163	59125	computation
5164	59125	computation
5167	5167	computation
5168	5168	computation
5169	5169	computation
5170	5170	computation
5171	5171	computation
5177	5177	computation
5179	5179	computation
5188	5188	computation
5192	5192	computation
5195	5195	computation
5196	5196	computation
5197	5197	computation
5200	5200	computation
5202	5202	computation
5203	5203	computation
5240	5240	computation
5257	5257	computation
5263	5263	computation
5266	5266	computation
5270	5270	computation
5271	5271	computation
5277	5277	computation
5281	5281	computation
5292	5292	computation
5298	5298	computation
5299	5299	computation
5300	5300	computation
5313	5313	computation
5314	5314	computation
5315	5315	computation
5316	5316	computation
5320	5320	computation
5323	5323	computation
5324	5324	computation
5325	5325	computation
5326	192825	computation
5331	5331	computation
5337	5337	computation
5350	5350	computation
5352	5352	computation
5355	5355	computation
5356	5356	computation
5357	5357	computation
5358	5358	computation
5362	5362	computation
5363	5363	computation
5364	5364	computation
5368	5368	computation
5369	5369	computation
5370	5370	computation
5371	5371	computation
5372	5372	computation
5373	134212	computation
5374	5374	computation
5375	5375	computation
5379	5379	computation
5381	5381	computation
5382	5382	computation
5385	5385	computation
5387	5387	computation
5396	5396	computation
5397	5397	computation
5399	5399	computation
5400	5400	computation
5401	5401	computation
5402	5402	computation
5403	5403	computation
5404	5404	computation
5405	5405	computation
5406	5406	computation
5407	5407	computation
5409	5409	computation
5411	5411	computation
5412	5412	computation
5413	5413	computation
5414	5414	computation
5415	5415	computation
5416	5416	computation
5427	5427	computation
5435	5435	computation
5439	5439	computation
5440	5440	computation
5445	5445	computation
5452	5452	computation
5457	61933	computation
5462	5462	computation
5479	5479	computation
5480	5480	computation
5484	5484	computation
5489	5489	computation
5496	5496	computation
5497	5497	computation
5511	5511	computation
5512	5512	computation
5513	5513	computation
5514	5514	computation
5515	5515	computation
5517	5517	computation
5522	5522	computation
5527	5527	computation
5528	5528	computation
5529	5529	computation
5532	5532	computation
5533	5533	computation
5534	5534	computation
5535	5535	computation
5536	5536	computation
5539	5539	computation
5540	5540	computation
5541	5541	computation
5542	5542	computation
5545	5545	computation
5547	5547	computation
5548	57398	computation
5550	5550	computation
5551	5551	computation
5552	5552	computation
5555	72602	computation
5556	72602	computation
5558	5558	computation
5559	5558	computation
5570	5570	computation
5571	5571	computation
5578	5578	computation
5579	5579	computation
5580	140467	computation
5583	5583	computation
5587	33542	computation
5588	5588	computation
5593	5593	computation
5597	5597	computation
5601	5601	computation
5602	5602	computation
5603	5603	computation
5604	5604	computation
5606	5606	computation
5607	5607	computation
5609	5609	computation
5611	5611	computation
5614	5614	computation
5615	5615	computation
5617	5617	computation
5618	5618	computation
5619	5619	computation
5620	5620	computation
5623	5623	computation
5625	5625	computation
5627	5627	computation
5628	5628	computation
5633	5633	computation
5635	5635	computation
5636	5636	computation
5638	5638	computation
5640	5640	computation
5644	5644	computation
5646	5646	computation
5647	5647	computation
5648	5648	computation
5649	5649	computation
5654	5654	computation
5658	5658	computation
5659	5659	computation
5660	5660	computation
5672	5672	computation
5673	5673	computation
5674	5674	computation
5676	5676	computation
5678	5678	computation
5679	5679	computation
5683	52059	computation
5687	5687	computation
5691	5691	computation
5692	5692	computation
5697	5697	computation
5700	5700	computation
5704	5704	computation
5705	5705	computation
5706	5706	computation
5707	5707	computation
5708	5707	computation
5711	5711	computation
5715	5715	computation
5718	5718	computation
5719	5719	computation
5722	5722	computation
5726	5726	computation
5729	147392	computation
5730	5730	computation
5731	5731	computation
5740	5740	computation
5743	5743	computation
5754	5754	computation
5757	5757	computation
5759	5759	computation
5760	5760	computation
5765	144375	computation
5768	5768	computation
5775	5775	computation
5776	5776	computation
5778	5778	computation
5781	68633	computation
5783	5783	computation
5784	5784	computation
5801	149564	computation
5805	5805	computation
5807	15429	computation
5810	71199	computation
5812	5812	computation
5817	5817	computation
5822	5822	computation
5824	5824	computation
5826	5826	computation
5828	5828	computation
5829	5829	computation
5832	5832	computation
5842	5842	computation
5850	5850	computation
5852	146259	computation
5853	146257	computation
5855	132922	computation
5860	5860	computation
5861	5861	computation
5864	5864	computation
5866	5866	computation
5867	5867	computation
5868	83829	computation
5870	5870	computation
5877	5877	computation
5885	5885	computation
5887	5887	computation
5893	5893	computation
5920	5920	computation
5922	5922	computation
5923	5923	computation
5942	5942	computation
5944	5944	computation
5949	5949	computation
5950	5950	computation
5952	5952	computation
5954	5954	computation
5955	5955	computation
5956	5956	computation
5957	5956	computation
5958	5958	computation
5962	5962	computation
5963	5963	computation
5964	5964	computation
5965	5965	computation
5966	5966	computation
5967	5967	computation
5968	5968	computation
5969	5969	computation
5970	5970	computation
5971	90895	computation
5977	5977	computation
5980	5980	computation
5981	5981	computation
5982	5982	computation
5983	5983	computation
5986	5986	computation
5987	5987	computation
5988	5988	computation
5990	5990	computation
5993	5993	computation
6001	6001	computation
6003	6003	computation
6004	6004	computation
6009	6009	computation
6015	6015	computation
6017	6017	computation
6019	6019	computation
6020	6020	computation
6025	6025	computation
6029	6029	computation
6030	6030	computation
6031	6031	computation
6032	38186	computation
6039	58924	computation
6041	6041	computation
6042	6042	computation
6043	6043	computation
6044	6043	computation
6047	6047	computation
6048	6048	computation
6049	6049	computation
6052	144055	computation
6053	6053	computation
6054	6054	computation
6056	6056	computation
6060	6060	computation
6061	6061	computation
6062	6062	computation
6063	6063	computation
6064	6064	computation
6067	169952	computation
6070	6070	computation
